epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,494.423,2.91404,10.5574,3.158,0.01591,0.89846,0.18499,0.10489,2.64499,14.9788,2.88639,0.00043342,0.00043342,0.00043342
2,910.438,2.80514,7.80302,2.77844,0.87336,0.12365,0.32269,0.16396,2.86542,13.3747,3.278,0.000848523,0.000848523,0.000848523
3,1313.53,2.84164,6.51785,2.75125,0.65949,0.00968,0.03558,0.01129,6.78003,18.1421,10.3543,0.00122798,0.00122798,0.00122798
4,1715.08,2.97878,5.71831,2.86592,0.1325,0.09677,0.07144,0.02629,4.71943,12.2051,4.94703,0.00146896,0.00146896,0.00146896
5,2158.78,2.8786,4.77237,2.79925,0.56078,0.38496,0.38542,0.18183,3.15233,18.4379,3.3798,0.00140295,0.00140295,0.00140295
6,2581.3,2.91356,4.1317,2.80785,0.68728,0.36115,0.49316,0.26199,3.20814,5.27803,3.26391,0.00133693,0.00133693,0.00133693
7,3147.87,2.88148,3.63218,2.7678,0.34046,0.37798,0.29028,0.14215,3.43175,6.33261,3.34979,0.00127092,0.00127092,0.00127092
8,3589.46,2.87478,3.43162,2.75296,0.41956,0.53759,0.47624,0.26255,3.10426,4.21423,3.05423,0.00120491,0.00120491,0.00120491
9,25.4477,2.78146,3.15879,2.67546,0.60615,0.65193,0.58152,0.33471,2.68052,2.81295,2.70455,0.00113889,0.00113889,0.00113889
10,47.5072,2.72782,2.87243,2.64297,0.59688,0.55332,0.60117,0.32869,3.03971,2.44349,2.95639,0.00107288,0.00107288,0.00107288
11,72.9886,2.69548,2.69734,2.58551,0.73118,0.72847,0.74904,0.38574,3.24113,2.04875,3.04257,0.00100687,0.00100687,0.00100687
12,95.6747,2.61525,2.53532,2.572,0.75175,0.69283,0.76664,0.48734,2.54734,1.76602,2.56029,0.000940855,0.000940855,0.000940855
13,118.635,2.57168,2.44328,2.56915,0.71712,0.68408,0.72691,0.41272,2.73298,1.92568,2.73925,0.000874842,0.000874842,0.000874842
14,141.074,2.59515,2.38177,2.56795,0.67622,0.69874,0.73071,0.43336,2.5902,1.68012,2.5921,0.000808828,0.000808828,0.000808828
15,166.516,2.52875,2.2312,2.53103,0.86697,0.68528,0.79236,0.40478,2.90754,1.98573,2.79311,0.000742815,0.000742815,0.000742815
16,186.583,2.40771,1.99969,2.46904,0.73247,0.7317,0.77541,0.49934,2.48732,1.74329,2.47465,0.000676802,0.000676802,0.000676802
17,206.778,2.28951,1.7212,2.3915,0.70362,0.72922,0.75895,0.44276,2.83243,2.04003,2.71886,0.000610789,0.000610789,0.000610789
18,226.761,2.29988,1.69071,2.41603,0.91111,0.76417,0.83737,0.52568,2.51633,1.53789,2.5261,0.000544776,0.000544776,0.000544776
19,247.225,2.21555,1.56449,2.35691,0.88438,0.80713,0.85558,0.56474,2.56197,1.44588,2.5271,0.000478762,0.000478762,0.000478762
20,267.365,2.1668,1.46533,2.33627,0.91318,0.79788,0.87286,0.56524,2.49222,1.31707,2.47456,0.000412749,0.000412749,0.000412749
21,287.596,2.15798,1.38426,2.31454,0.88156,0.78501,0.86867,0.5778,2.44873,1.28528,2.46622,0.000346736,0.000346736,0.000346736
22,307.581,2.12272,1.32879,2.32547,0.85915,0.78936,0.8627,0.59006,2.39193,1.31227,2.44274,0.000280723,0.000280723,0.000280723
23,327.742,2.08911,1.29443,2.29262,0.8699,0.81196,0.87499,0.60209,2.36767,1.18306,2.3999,0.00021471,0.00021471,0.00021471
24,347.862,2.00997,1.22427,2.24729,0.88863,0.76871,0.87945,0.59484,2.41898,1.1328,2.42927,0.000148696,0.000148696,0.000148696
25,368.245,1.96479,1.22584,2.21456,0.89804,0.80827,0.89086,0.61204,2.35195,1.18132,2.38248,8.26832e-05,8.26832e-05,8.26832e-05
